n_trades,mean_ret_pct,win_rate,t_stat,p_value,sharpe,cagr_pct,max_dd_pct,n_stocks,sub_periods,id,family,rules,hold
31918,0.1446,52.9,9.417,2.4760275416859368e-21,0.596,14.06,-50.99,130,"{'2014-2017': 0.249, '2018-2021': 1.332, '2022-2024': -0.207}",H0025,A_single,"[('ibs', '<', 0.1)]",2
29205,0.1966,53.69,10.042,5.429355114021789e-24,0.718,21.48,-68.36,130,"{'2014-2017': 0.407, '2018-2021': 1.319, '2022-2024': 0.077}",H0026,A_single,"[('ibs', '<', 0.1)]",3
48746,0.0334,50.69,3.681,0.00011611727777281452,-0.13,-7.09,-75.41,130,"{'2014-2017': -0.462, '2018-2021': 0.248, '2022-2024': -0.737}",H0027,A_single,"[('ibs', '<', 0.15)]",1
42839,0.123,52.38,9.406,2.6878275384977236e-21,0.379,6.87,-64.98,130,"{'2014-2017': 0.204, '2018-2021': 0.805, '2022-2024': -0.132}",H0028,A_single,"[('ibs', '<', 0.15)]",2
38228,0.1649,53.21,9.674,2.0661612165080877e-22,0.525,12.85,-78.22,130,"{'2014-2017': 0.286, '2018-2021': 0.776, '2022-2024': 0.353}",H0029,A_single,"[('ibs', '<', 0.15)]",3
61055,0.016,50.31,1.992,0.023180641236966434,-0.111,-5.83,-69.22,130,"{'2014-2017': -0.556, '2018-2021': 0.311, '2022-2024': -0.606}",H0030,A_single,"[('ibs', '<', 0.2)]",1
52081,0.0951,52.11,8.137,2.062333965167012e-16,0.419,8.17,-62.5,130,"{'2014-2017': -0.046, '2018-2021': 0.864, '2022-2024': 0.19}",H0031,A_single,"[('ibs', '<', 0.2)]",2
45471,0.1519,52.94,9.779,7.328656186068707e-23,0.722,20.95,-78.72,130,"{'2014-2017': 0.816, '2018-2021': 0.869, '2022-2024': 0.46}",H0032,A_single,"[('ibs', '<', 0.2)]",3
72172,0.0095,50.12,1.293,0.09804021605486984,0.064,-0.99,-50.93,130,"{'2014-2017': -0.121, '2018-2021': 0.532, '2022-2024': -0.544}",H0033,A_single,"[('ibs', '<', 0.25)]",1
60049,0.0746,51.83,6.868,3.285689143910617e-12,0.493,10.42,-61.84,130,"{'2014-2017': 0.386, '2018-2021': 0.789, '2022-2024': 0.299}",H0034,A_single,"[('ibs', '<', 0.25)]",2
51489,0.1293,52.71,8.984,1.3458565377683855e-19,0.808,24.39,-66.48,130,"{'2014-2017': 0.958, '2018-2021': 1.142, '2022-2024': 0.31}",H0035,A_single,"[('ibs', '<', 0.25)]",3
